,district_ID,date,disaster_type,location,district_name,province,dead,missing,injured,house_damage,public_facility_damage
573,5204,2021-02-22,flood,Kec. Lunyuk Ds. Perung Ds. Sukamaju,SUMBAWA,west_nusa_tenggara,0.0,0.0,0.0,0,0
574,1101,2021-02-22,cyclone,Kec. Simeulue Timur Ds. Ujung Tinggi,SIMEULUE,aceh,0.0,0.0,0.0,3,0
575,1113,2021-02-22,forest and land fire,Kec. Kota Panjang Ds. Rema Tue,GAYO LUES,aceh,0.0,0.0,0.0,0,0
576,1705,2021-02-22,earthquake,57 Km Barat Daya 4.34 Lintang Selatan 102.13 Bujur Timur,SELUMA,bengkulu,0.0,0.0,0.0,0,0
577,1306,2021-02-21,forest and land fire,Kec. Ulakan Tapakih Ds. Tapakih,PADANG PARIAMAN,west_sumatera,0.0,0.0,0.0,0,0
578,3217,2021-02-21,landslide,Kec. Padalarang Ds. Kertajaya,BANDUNG BARAT,west_java,0.0,0.0,0.0,2,0
579,3515,2021-02-21,cyclone,Kec. Balongbendo Ds. Wonokupang,SIDOARJO,east_java,0.0,0.0,0.0,3,2
580,6112,2021-02-21,forest and land fire,Kec. Sungai Raya,KUBU RAYA,west_kalimantan,0.0,0.0,0.0,0,0
581,3201,2021-02-21,cyclone,Kec. Bogor Barat Kel. Cilendek Barat,BOGOR,west_java,0.0,0.0,0.0,1,0
582,3308,2021-02-21,cyclone,Kec. Mertoyudan Ds. Bondowoso Ds. Sumberrejo Kec. Ngeblak Ds. Tejosari,MAGELANG,central_java,0.0,0.0,0.0,18,0
583,3308,2021-02-21,landslide,Kec. Bandongan Ds. Kalegen Kec. Kaliangkrik Ds. Bandarrejo,MAGELANG,central_java,0.0,0.0,0.0,1,0
584,3201,2021-02-21,landslide,Kec. Jonggol Ds. Singa jaya,BOGOR,west_java,0.0,0.0,0.0,0,0
585,3201,2021-02-21,landslide,Kec. Caringin Ds. Caringin,BOGOR,west_java,0.0,0.0,0.0,41,0
586,3201,2021-02-21,landslide,Kec. Cileungsi Ds. Cipeucang,BOGOR,west_java,0.0,0.0,0.0,0,0
